行业领域,技术类型,工艺环节,技术名称,技术说明,时间基准,规模基准,技术成熟度,投资成本(元/MWh),固定成本(元/MWh),可变成本(元/MWh),年化总成本(元/MWh),排放因子(tCO2/MWh),单位减排成本(元/吨CO2),运行寿命(y),利用率(%),投资成本(元/吨),固定成本(元/吨),节电潜力(kwh/MWh),节煤潜力(GJ/MWh),减排潜力(tCO2/t),减排潜力(tCO2/MWh),投资成本(元/MW),
电力,生产工艺,传统工艺,燃煤发电1------可参与成本分析技术,技术说明：,2020,平均,商业应用,1515.3,97.3,145.7,356.66,0.83,null,40,45,0,0,0,0,0,0,0,
电力,生产工艺,传统工艺,燃煤发电2------可参与成本分析技术,技术说明：,2020,超超临界-347MW,商业应用,777.4,97.3,145.7,301.31,0.83,,40,45,0,0,0,0,0,0,0,
电力,生产工艺,光伏发电,光伏发电------可参与成本分析技术,技术说明：,2020,平均,商业应用,3116.4,52.1,0,319.52,0,-44.75,25,18,0,0,0,0,0,0,0,
电力,生产工艺,核能发电,核裂变发电------可参与成本分析技术,技术说明：,2020,平均,商业应用,2372.2,171.7,65,405.67,0,59.05,60,100,0,0,0,0,0,0,0,
电力,生产工艺,水力发电,水力发电------可参与成本分析技术,技术说明：,2020,平均,商业应用,2074.5,140.1,0,285.97,0,-85.17,80,47,0,0,0,0,0,0,0,
电力,生产工艺,燃气发电,燃气发电------可参与成本分析技术,技术说明：,2020,平均,商业应用,64,87.7,417.6,510.46,0.392,351.14,30,58,0,0,0,0,0,0,0,
电力,生产工艺,生物质能发电,生物质能发电------可参与成本分析技术,技术说明：,2014,平均,商业应用,2280.5,59,309.7,583.96,0,273.86,20,64,0,0,0,0,0,0,0,
电力,生产工艺,风电,海上风电------可参与成本分析技术,技术说明：,2020,平均,商业应用,4967.2,119.4,0,545.64,0,227.69,25,35,0,0,0,0,0,0,0,
电力,生产工艺,风电,陆上风电------可参与成本分析技术,技术说明：,2020,平均,商业应用,3464.6,85.7,0,383,0,31.73,25,26,0,0,0,0,0,0,0,
电力,机改技术,CCUS技术,碳捕集、利用与封存技术-超临界管道运输、EOR,技术说明：,2018,100万吨-CO2,工业示范,0,0,0,null,0,null,20,0,171-224,null,null,null,0.9238589338676,0,0,
电力,机改技术,余热/余压利用,中小型汽轮机节能技术------可参与成本分析技术,技术说明：,2020,12MW,商业应用,142.69,5.7076,0,21.37,0,47.49,15,0,0,0,0,4.61,0,0.45,0,
电力,机改技术,余热/余压利用,火电厂烟气综合优化系统余热深度回收技术------可参与成本分析技术,技术说明：,2020,600MW,商业应用,3.22,0.1288,0,0.48,0,141.18,15,0,0,0,0,0.035,0,0.0034,0,
电力,机改技术,余热/余压利用,脱硫岛烟气余热回收及风机运行优化技术------可参与成本分析技术,技术说明：,2020,2*1000MW,商业应用,3.97,0.1588,0,0.59,0,74.68,15,0,0,0,0.18,0.079,0,0.0079,0,
电力,机改技术,供热/热电联产,大型供热机组双背压双转子互换循环水供热技术------可参与成本分析技术,技术说明：,2020,135MW,商业应用,99.36,3.9744,0,14.88,0,62,15,0,0,0,0,2.41,0,0.24,0,
电力,机改技术,供热/热电联产,旋转电磁制热技术------可参与成本分析技术,技术说明：,2020,3*37KW,商业应用,450.45,18.018,0,67.47,0,1349.4,15,0,0,0,0,0.51,0,0.05,0,
电力,机改技术,供热/热电联产,燃煤锅炉智能调载趋零积灰趋零结露深度节能技术,技术说明：,2020,116MW,商业应用,16.85,0.674,0,2.52,0,null,15,0,0,0,0,0.2,0,0.019,0,
电力,机改技术,供热/热电联产,电厂用低压驱动热泵技术------可参与成本分析技术,技术说明：,2020,330MW,商业应用,43.46,1.7384,0,6.51,0,132.86,15,0,0,0,0,0.5,0,0.049,0,
电力,机改技术,供热/热电联产,电极锅炉设计技术开发及制造------可参与成本分析技术,技术说明：,2020,风电供热,商业应用,205.36,8.2144,0,30.76,0,1708.89,15,0,0,0,0,0.19,0,0.018,0,
电力,机改技术,供热/热电联产,纯凝汽轮机组改造实现热电联产技术------可参与成本分析技术,技术说明：,2020,2*200MW,商业应用,9.13,0.3652,0,1.37,0,124.55,15,0,0,0,0,0.12,0,0.011,0,
电力,机改技术,储能,智能组串式储能系统,技术说明：电池模组创新仿生风道设计，结合分布式温控架构，落地六大温控关键举措，打造高密/节能/高可靠性温控系统，支持电池模组内部均温＜5℃，模组间均温＜3℃，助力总体能量密度较同类商品高10%+。,2021,25MW/50WHh,商业应用,0,112000,0,419424.95,0,null,15,0,0,0,null,null,0,null,2800000,
电力,机改技术,太阳能发电,塔式太阳能光热发电技术------可参与成本分析技术,技术说明：塔式太阳能热发电技术通过驱动排列有序的大规模定日镜实时跟踪太阳，将太阳光聚焦到位于高塔顶部的吸热器，通过高温熔盐储存 热能，并加热工质产生高温高压蒸汽，通过汽轮机带动发电机发电，实 现“光能-热能-机械能-电能”的转化。该技术通过规模化定日镜集群高 精度协同聚光、安全可靠的大容量低成本熔盐储能、高温吸热器的网 格化能量协调控制的关键技术，可解决光热电站的定日镜聚光精度、 可靠性及稳定性等问题，为光热发电行业提供更优的解决方案。,2022,1×50MW机组,商业应用,14776.76,591.0704,0,1859.07,0,1575.48,25,0,0,0,null,null,0,1.18,0,
电力,机改技术,太阳能发电,高效-P-型-PERC-单晶太阳能电池及组件制造与应用技术------可参与成本分析技术,技术说明：PERC 技术通过在电池背面沉积 Al2O3 钝化层来降低电池背表面 载流子复合量，从而提升电池光电转换效率。同时，该技术在电池端通 过采用 SE 和 MBB 技术，进一步提升电池转换效率；在组件端采用半 片电池封装技术，不仅提升组件功率，还有效降低组件的工作温度，并 使组件具备非常出色的耐阴影遮挡性能。PERC 技术生产的电池和组 件不仅具备高转换效率，还具备出色的发电能力（高温、弱光）和可靠 性能（LID 和 PID），对推动我国光伏产业高质量发展意义重大。,2022,装机容量 100MW。,商业应用,2705.9,108.236,0,340.43,0,453.91,25,0,0,0,null,null,0,0.75,0,
电力,机改技术,火电,冷却塔用离心式高效喷溅装置------可参与成本分析技术,技术说明：,2020,2*5500m2冷却塔,商业应用,0.48,0.0192,0,0.07,0,21.88,15,0,0,0,0,0.032,0,0.0032,0,
电力,机改技术,火电,准稳定直流除尘器供电电源节能技术------可参与成本分析技术,技术说明：,2020,40台软稳电源,商业应用,4.8,0.192,0,0.72,0,2000,15,0,0,0,0.61,0,0,0.00036,0,
电力,机改技术,火电,回转式空气预热器密封节能技术------可参与成本分析技术,技术说明：,2020,640MV,商业应用,1.78,0.0712,0,0.27,0,50.94,15,0,0,0,0,0.054,0,0.0053,0,
电力,机改技术,火电,基于凝结水调负荷的超超临界机组协调控制技术------可参与成本分析技术,技术说明：,2020,2*900MW,商业应用,0.51,0.0204,0,0.08,0,16.33,15,0,0,0,0,0.05,0,0.0049,0,
电力,机改技术,火电,大容量高参数褐煤煤粉锅炉技术------可参与成本分析技术,技术说明：,2020,2*670MW,商业应用,37.48,1.4992,0,5.61,0,40.07,15,0,0,0,0,1.5,0,0.14,0,
电力,机改技术,火电,富氧双强点火稳燃节油技术------可参与成本分析技术,技术说明：,2020,600MW,商业应用,1.79,0.0716,0,0.27,0,20.77,15,0,0,0,0,0.13,0,0.013,0,
电力,机改技术,火电,工业煤气及瓦斯气（温室气体）内燃机高效发电技术------可参与成本分析技术,技术说明：该技术以多气源可燃气体为燃料，采用公司的专利技术将燃料与空气进行充分的预混合，并根据工况与燃料气体的组分、压力及温度变化实时为往复式活塞内燃机提供精准的混合气体，混合气经增压中冷后，通过精心设计的进气通道进入往复式活塞内燃机的燃烧室内，在燃烧室内形成合适的室内紊流，利用先进的高能电子点火装置点燃燃烧室内的混合气体，进行快速充分的燃烧，室内的高温高压燃烧气体膨胀推动往复式活塞内燃机的活塞经连杆曲轴传递带动发电机发电，对外输送电力。同时，该技术还采用了国内外先进的余热梯级利用技术，研发设计专有的往复式活塞内燃机两级中冷系统，提高了往复式活塞内燃机可利用高品位余热，通过将发动机排气与冷却液中的高品位余热通过热交换器进行回收，可用于供暖、制冷或发电，实现尾气燃烧热能的二次利用。,2021,30MW瓦斯机组,商业应用,1074.56,42.98,0,160.96,0,130.86,15,0,0,0,0,12.44,0,1.23,0,
电力,机改技术,火电,干式抽真空系统节能改造技术------可参与成本分析技术,技术说明：该技术根据机组运行状态下真空严密性的实际状况，通过基于机组真空泄漏量模型算法以确定抽真空设备的抽气速率，集成了工作腔无需密封水的干式变螺距螺杆真空泵，系统极限真空度高。采用最优化的关键设备选型、系统配置功率和运行控制方案，可大幅度降低系统电耗，提高机组真空度，显著降低凝结水溶氧，提高了机组的经济性和安全性， 实现节能减排。,2022,300M机组,商业应用,0.761,0.03044,0,0.11,0,61.97,15,0,0,0,8.48,0.421,0,0.001775,0,
电力,机改技术,火电,提高火电厂汽轮机组性能综合技术------可参与成本分析技术,技术说明：,2020,4*300MW+1*600MW,商业应用,1.83,0.0732,0,0.27,0,16.88,15,0,0,0,0,0.16,0,0.016,0,
电力,机改技术,火电,汽轮机汽封改造------可参与成本分析技术,技术说明：,2020,6*300MW,商业应用,3.8,0.152,0,0.57,0,78.08,15,0,0,0,0,0.074,0,0.0073,0,
电力,机改技术,火电,汽轮机通流部分代化改造------可参与成本分析技术,技术说明：,2020,300MW,商业应用,48.71,1.9484,0,7.3,0,125.86,15,0,0,0,0,0.59,0,0.058,0,
电力,机改技术,火电,火电厂凝汽器真空保持节能系统技术------可参与成本分析技术,技术说明：汽轮机凝汽器真空保持节能系统（以下简称“ VUES”）是利用胶球清洗。它能在不停机的情况下自动清除凝汽器污垢，长期保持 95% 以上的收球率。正常运行后凝汽器清洁度提升并长期保持在 0.85 以上，从而提高机组性能，降低汽轮机能耗。,2020,2*310MW,商业应用,2.94,0.1176,0,0.44,0,68.75,15,0,0,0,0,0.065,0,0.0064,0,
电力,机改技术,火电,电站锅炉智能吹灰优化与在线结焦预警系统------可参与成本分析技术,技术说明：,2020,1000MW,商业应用,0.57,0.0228,0,0.09,0,75,15,0,0,0,0,0.012,0,0.0012,0,
电力,机改技术,火电,电站锅炉用邻机蒸汽加热启动技术------可参与成本分析技术,技术说明：,2020,2*1000MW,商业应用,0.23,0.0092,0,0.03,0,34.88,15,0,0,0,0,0.0088,0,0.00086,0,
电力,机改技术,火电,电除尘器节能提效控制技术------可参与成本分析技术,技术说明：,2020,300MW,商业应用,2.055,0.0822,0,0.31,0,172.22,15,0,0,0,3.044,0,0,0.0018,0,
电力,机改技术,火电,超临界及超超临界发电机组引风机小汽轮机驱动技术------可参与成本分析技术,技术说明：,2020,1000MW,商业应用,7.65,0.306,0,1.15,0,221.15,15,0,0,0,8.98,0,0,0.0052,0,
电力,机改技术,火电,高压变频调速技术------可参与成本分析技术,技术说明：,2020,1000KW/6KV风机,商业应用,4.48,0.1792,0,0.67,0,76.14,15,0,0,0,15.11,0,0,0.0088,0,
电力,机改技术,火电/核电,自然通风逆流湿式冷却塔风水匹配强化换热技术------可参与成本分析技术,技术说明：,2020,4500m2冷却塔,商业应用,1.9,0.076,0,0.28,0,43.08,15,0,0,0,0,0.066,0,0.0065,0,
电力,机改技术,输配电技术,全光纤电流/电压互感器技术------可参与成本分析技术,技术说明：,2020,2*50MVA变电站,商业应用,5.07,0.2028,0,0.76,0,104.11,15,0,0,0,0,0.074,0,0.0073,0,
电力,机改技术,输配电技术,新型节能导线应用技术------可参与成本分析技术,技术说明：,2020,钢芯高导电率硬铝绞线,商业应用,23.37,0.9348,0,3.5,0,269.23,15,0,0,0,22,0,0,0.013,0,
电力,机改技术,输配电技术,配电网全网无功优化及协调控制技术,技术说明：,2020,电压无功调控设备,商业应用,,null,0,null,0,null,15,0,0,0,1.25,0,0,0.00073,0,
