行业领域,技术类型,工艺环节,技术名称,技术说明,时间基准,规模基准,技术成熟度,投资成本(元/吨),固定成本(元/吨),年化总成本(元/吨),节电潜力(kwh/吨),节煤潜力(GJ/吨),减排潜力(tCO2/t),单位减排成本(元/吨CO2),运行寿命(y),投资成本(元/吨-蒸汽),固定成本(元/吨-蒸汽),年化总成本(元/吨-蒸汽),节电潜力(kwh/吨-蒸汽),节煤潜力(GJ/吨-蒸汽),减排潜力(tCO2/吨-蒸汽),投资成本(元),固定成本(元),年化总成本(元),节电潜力(kwh),节煤潜力(GJ),减排潜力(tCO2),投资成本(元/吨-氯碱),固定成本(元/吨-氯碱),年化总成本(元/吨-氯碱),节电潜力(kwh/吨-氯碱),节煤潜力(GJ/吨-氯碱),减排潜力(tCO2/吨-氯碱),投资成本(元/吨-氨),固定成本(元/吨-氨),年化总成本(元/吨-氨),节电潜力(kwh/吨-氨),节煤潜力(GJ/吨-氨),减排潜力(tCO2/吨-氨),投资成本(元/吨-电石),固定成本(元/吨-电石),年化总成本(元/吨-电石),节电潜力(kwh/吨-电石),节煤潜力(GJ/吨-电石),减排潜力(tCO2/吨-电石),投资成本(元/吨-PVC),固定成本(元/吨-PVC),年化总成本(元/吨-PVC),节电潜力(kwh/吨-PVC),节煤潜力(GJ/吨-PVC),减排潜力(tCO2/吨-PVC),
石化化工,机改技术,CCUS技术,新型高效低能耗二氧化碳捕集技术------可参与成本分析技术,技术说明：该技术利用化学吸收剂与CO2的可逆反应，在一定温度和压力下， 实现原料气中CO2的脱除和富集。传统的化学吸收液如乙醇胺（MEA） 溶液普遍存在再生能耗较大、腐蚀性较强等问题。本技术从分子结构 设计的角度进行新型胺基溶剂的设计，开发了多种活性胺复配的方法， 形成含抗氧化剂的配方型系列新型胺基溶剂（MA-1）复合胺吸收溶剂， 使CO2吸收能力大幅提高，再生能耗下降。新型胺基溶剂（MA）在保 证CO2捕集率>90%条件下，再生能耗较MEA溶剂降低30%以上，溶剂 的抗氧化降解性能显著提高。,2022,1 万 t/年 CO2捕集与精制工程,商业应用,2000,80,268.79,null,null,1,268.79,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,CCUS技术,碳捕集、利用与封存技术-超临界管道运输、EOR,技术说明：,2019,36万吨-CO2,工业示范,209-213,553.7-821,null,null,null,null,null,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,CCUS技术,陆相油藏-CO2高效驱油与规模埋存一体化技术------可参与成本分析技术,技术说明：CO2驱油与埋存是将工业CO2捕集，输送到油藏进行驱油利用并实 现CO2规模埋存的一项技术。该技术以碳足迹迁移为主线，剖析CO2注 入与产出过程中CO2高效驱油及碳滞留机理，建立CO2驱油与埋存一体 化数值模拟及优化方法，制定协同优化方案，提高CO2混相程度，扩大 波及体积，实现最优注入量条件下的采收率与埋存率协同最优的目标， 达到CO2高效驱油利用与规模埋存的目的。,2022,心连心集团工业 捕集年捕集能力达到30万吨,商业应用,400,16,53.76,null,null,1,53.76,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,余热回收,多孔表面高通量管高效换热技术------可参与成本分析技术,技术说明：该技术是一种用于提高沸腾换热效率的强化换热技术，通过在普通换热管表面制造一层金属多孔层，达到强化沸腾传热的目的。金属多孔层能提供大量的泡核中心，可使传热维持在高效率的泡核沸腾状态，使沸腾换热系数达到光管的 3~8 倍，从而有效减少换热器的体积和数量；同时，表面的多孔使介质容易形成大直径气泡，可降低达到沸腾所需的过热度，减小传热温差，从而可以利用更低品位的余热，提高压缩机效率，实现节能减碳。,2022,年产 122.56 万吨低压蒸汽,商业应用,0,0,0,0,0,0,11.56,15,16.332,0.65328,2.45,null,null,0.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,整体措施,多能互补型直流微电网及抽油机节能群控系统技术,技术说明：通过新能源风/光/储/网电等多能互补控制构成直流微电网，为多个抽油机电控终端供电，充分发挥直流供电的优点和多抽油机的群体优势。各抽油机冲次可根据采油工况优化调节，通过物联网无线通讯技术实现集群井间协调和监控管理。通过协调控制井群各抽油机上、下冲程状态，使下冲程向直流母线的馈能功率在处于上冲程耗能状态的抽油机上得以共享利用，即各抽油机倒发电馈能通过直流母线互馈共享、循环利用。该技术既提高能效，又降低谐波，从根本上解决油田抽油机电控长期存在的采油工艺和能效问题，大幅度降低所需供电变压器容量和台数，显著降低抽油机的耗电量，从而实现节能增效。,2022,0,商业应用,0,0,0,0,0,0,null,null,0,0,0,0,0,0,2300000,null,null,null,null,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,氢氧化钠-整体措施,氯碱企业能源管理技术（Energy-management-technology-in-chlor-alkali-enterprises）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,42.3,10,0,0,0,0,0,0,0,0,0,0,0,0,68.36,0,9.73,62.16,2.08,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,氢氧化钠-整体措施,氯碱工艺中泵及风机高压变频技术（High-voltage-frequency-converter-for-pumps,-fans-in-caustic-soda）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,969.7,10,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0.96,1.711,0,0.00099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,氢氧化钠-氯氢处理,新型高效氢气压缩机（New-efficient-hydrogen-compressor）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,36.9,25,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0.31,14.515,0,0.0084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,氢氧化钠-氯氢处理,氟利昂制冷一体机（Freon-refrigeration-machine）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,260.63,20,0,0,0,0,0,0,0,0,0,0,0,0,44.23,0,4.17,28.16,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,氢氧化钠-氯氢处理,透平压缩机输送氯气（Turbine-compressor-for-chlorine-transport）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,366.67,25,0,0,0,0,0,0,0,0,0,0,0,0,76.923,0,6.6,30.4,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,氢氧化钠-氯氢处理,高温高压氯液化技术（High-temperature-and-high-pressure-chlorine-liquefying-technology）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,1270.49,15,0,0,0,0,0,0,0,0,0,0,0,0,144.23,36.25,52.09,70,0,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,氢氧化钠-液碱蒸发,三效逆流蒸发工艺（Three-phase-flow-evaporation-for-diaphragm）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,181.43,20,0,0,0,0,0,0,0,0,0,0,0,0,26.92,0,2.54,25,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,氢氧化钠-液碱蒸发,超声波防垢除垢技术（Anti-scaling-and-descaling-by-ultrasound-）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,54.07,10,0,0,0,0,0,0,0,0,0,0,0,0,12.63,5.77,7.57,0.459,1.46,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,氢氧化钠-电源功率整流,高效硅整流器High-efficiency-silicon-rectifier)------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,282,20,0,0,0,0,0,0,0,0,0,0,0,0,67.31,2.11,8.46,52,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,氢氧化钠-电解水,去极化氧阴极膜电解槽技术（Oxygen-depolarized-cathodes-membrane-electrolyzer）------可参与成本分析技术,技术说明：,2016,null,中试阶段,0,0,0,0,0,0,1123.69,10,0,0,0,0,0,0,0,0,0,0,0,0,2762.31,0,393.29,600,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,氢氧化钠-电解水,国产全氟离子膜（Domestic-perfluorinated-ion-membrane）------可参与成本分析技术,技术说明：,2016,null,工业示范,0,0,0,0,0,0,-43.44,10,0,0,0,0,0,0,0,0,0,0,0,0,50.96,-8.65,-1.39,55,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,氢氧化钠-电解水,扩张阳极+改性隔膜电解槽技术（High-efficiency-diaphragm-electrolyzer-with-modified-diaphragm-and-expanded-metal-anode）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,22.46,10,0,0,0,0,0,0,0,0,0,0,0,0,9.61,0,1.37,105,0,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,氢氧化钠-电解水,零极距离子膜电解槽技术（Zero-electrode-distance-membrane-electrolyzer）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,188.79,10,0,0,0,0,0,0,0,0,0,0,0,0,76.92,0,10.95,100,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-净化,一段炉烟气余热回收技术（Recover-heat-from-reformer-flue-gas-）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,84.62,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0.3268,1.1,13.9,0.05,0.013,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-净化,全自热非等压醇烷化净化原料气技术（Methanolizing-methanation-process-with-full-autothermic-non-constant-pressure-）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,269.25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.38,9.6152,32.31,21.4,1.13,0.12,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-净化,变压吸附CO2去除技术（Pressure-swing-adsorption-for-removing-CO2-）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,133.68,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.92,8.0768,25.4,60,1.64,0.19,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-净化,基于聚乙二醇二甲基醚的脱硫脱碳技术（NHD-(Polyethylene-glycol-dimethy-ether)-for-CO2-and-Sulphide-removal）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,67.9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.077,11.92308,40.06,70,5.79,0.59,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-净化,溴化锂吸收式制冷机（Low-level-heat-absorption-refrigeration-by-lithium-bromide-chiller）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,28.28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.42,0.5768,1.81,110,0,0.064,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-净化,脱碳富液能量回收技术（Recovering-energy-from-rich-solution-by-turbine-unit-in-CO2-removal）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,27.86,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0.1152,0.39,23.5,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-净化,醇烃化净化工艺技术------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,164.45,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.61,5.3844,18.09,50,0.88,0.11,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-化学变换,全低温变换技术（Full-low-temperature-shift-conversion-technology）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,208.62,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.15,3.846,12.1,26.5,0.45,0.058,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-化学变换,化学变换压力提升技术（Increasing-shift-pressure）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,423.1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5,3.9,12.27,50,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-合成氨,JR型氨合成塔内件技术（JR-type-ammonia-synthesis-tower-internals-with-multi-stage-adiabatic-heat-exchange-system）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,475.24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.65,6.346,19.96,73.3,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-合成氨,无动力氨回收技术（Unpowered-ammonia-recovery-technology）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,10.21,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0.3076,0.97,27.17,0.84,0.095,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-合成氨,氨合成塔温度的自动控制及优化技术（Autocontrol-and-optimization-of-ammonia-synthesis-reactor-temperature）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,11.21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81,0.1924,0.65,40,0.37,0.058,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-合成氨,轴径向氨合成塔(GC型合成塔)-（Axial-radial-ammonia-synthesis-tower-(GC-synthesis-tower)）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,85.06,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.35,8.654,27.22,20,3.22,0.32,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-合成氨,高效氨合成技术(IIIJD型氨合成系统)（High-efficiency-ammonia-synthesis-technology-(IIIJD-ammonia-synthesis-system)）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,347.59,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.26,6.4104,20.16,100,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-整体措施,电网系统节电技术（Electricity-saving-technology-of-power-grid-system）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,124.14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81,0.1924,0.72,10,0,0.0058,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-整体措施,蒸发式冷凝器技术（Evaporative-condenser-cooling-technology）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,129.33,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.42,0.5768,1.94,25,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-整体措施,高压变频系统（High-voltage-frequency-conversion-system）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,453.45,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.42,0.5768,2.63,10,0,0.0058,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-整体措施,高效铜转子（High-efficiency-copper-rotors）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,500,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0.0768,0.35,1.22,0,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-煤气化,气头合成氨绝热预转化装置（Adiabatic-pre-reformer-for-gas-based-ammonia）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,265.15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.096,2.60384,8.75,58.1,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-煤气化,水煤浆间歇式气化技术（Aeration-intermittent-gasification-technology-for-coal-based-ammonia）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,74,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.58,2.4232,8.14,4.3,1.1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-煤气化,煤制合成氨三废混燃炉技术（Three-waste-fluidized-mix-combustion-furnace-for-coal-based-ammonia）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,25.61,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.25,6.25,21,200,7.47,0.82,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,煤制氨-煤气化,粉煤加压气化技术（High-pressure-coal-gasification）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,453.75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.69,2.3076,7.26,27.8,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,电石生产-原料准备,DC直流稳压电源（Quasi-stable-DC-power-supply）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,1859.09,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.5,5.46,20.45,18.4,0,0.011,0,0,0,0,0,0,
石化化工,机改技术,电石生产-原料准备,双壳立窑、麦尔兹并流蓄热式PFR竖窑（double-shell-shaft-kiln-and-maerz-PFR-shaft-kiln)------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,124.52,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435.5,17.42,54.79,50,4.4,0.44,0,0,0,0,0,0,
石化化工,机改技术,电石生产-整体措施,变频调速技术（Variable-frequency-speed-control-technology）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,254.29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0.196,0.89,6,0,0.0035,0,0,0,0,0,0,
石化化工,机改技术,电石生产-整体措施,节能管理中心（Energy-efficiency-management-center）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,56.45,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,0.3848,1.75,2.78,0.308,0.031,0,0,0,0,0,0,
石化化工,机改技术,电石生产-电石生产,40.5MVA高效环保密闭电石炉（Efficient-and-environment-friendly-40.5-MVA-closed-furnace-）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,97.11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,19.76,62.15,100,6.1,0.64,0,0,0,0,0,0,
石化化工,机改技术,电石生产-电石生产,63MVA高效环保密闭电石炉（Efficient-and-environment-friendly-63-MVA-closed-furnace）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,147.98,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,39.52,124.3,50,8.6,0.84,0,0,0,0,0,0,
石化化工,机改技术,电石生产-电石生产,DC直流电弧炉（DC-electric-arc-furnace）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,275.47,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,16.64,52.34,330,0,0.19,0,0,0,0,0,0,
石化化工,机改技术,电石生产-电石生产,低压动态无功补偿装置（Low-voltage-dynamic-var-compensator）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,196.97,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,4.68,17.53,153,0,0.089,0,0,0,0,0,0,
石化化工,机改技术,电石生产-电石生产,基于相变移热的等温变换节能技术（Isothermal-transformation-based-on-phase-change-heat-transfer）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,969,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.24,5.7696,19.38,34.76,0,0.02,0,0,0,0,0,0,
石化化工,机改技术,电石生产-电石生产,新型导电铜瓦把持器电石炉节能技术（New-conductive-copper-contact-shoe-for-closed-furnace）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,1086.67,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,17.16,78.24,124,0,0.072,0,0,0,0,0,0,
石化化工,机改技术,电石生产-电石生产,显热回收技术（Sensible-heat-recovery-system）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,183.64,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.76,4.4304,20.2,187.5,0,0.11,0,0,0,0,0,0,
石化化工,机改技术,电石生产-电石生产,电石内燃炉改造（Transformation-of-internal-combustion-furnace）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,428,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.5,12.74,42.8,180,0,0.1,0,0,0,0,0,0,
石化化工,机改技术,电石生产-电石生产,短网综合补偿技术（Combined-compensation-of-short-supply-network-）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,250,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.02,10.6808,40,277.71,0,0.16,0,0,0,0,0,0,
石化化工,机改技术,电石生产-电石生产,矿石冶炼炉及电弧炉节电专家系统（Electricity-saving-expert-system-for-ore-smelting-furnace-and-electric-arc-furnace）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,141.17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.55,2.262,8.47,102.86,0,0.06,0,0,0,0,0,0,
石化化工,机改技术,电石生产-电石生产,空心电极（Hollow-electrode-）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,302.07,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.5,2.34,8.76,50,0,0.029,0,0,0,0,0,0,
石化化工,机改技术,电石生产-电石生产,组合式电极系统（Combination-electrode-system）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,196.97,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,4.68,17.53,153.1,0,0.089,0,0,0,0,0,0,
石化化工,机改技术,电石生产-电石生产,自动供料及配料控制系统（Auto-control-system-for-materials-feeding-and-batching）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,231.05,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.2,4.688,17.56,131.43,0,0.076,0,0,0,0,0,0,
石化化工,机改技术,聚氯乙烯生产-PVC合成及干燥技术,PVC干燥工艺风机变频驱动技术（Variable-frequency-drives-for-induced-draft-fans-in-PVC-dry-process）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,246.85,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6153846153846,0,1.37,9.55,0,0.00555,
石化化工,机改技术,聚氯乙烯生产-PVC合成及干燥技术,新型高效流化床干燥机（New-efficient-fluid-bed-dryer）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,522.72,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.134615384615,47.79,53.84,43.575,0.816,0.103,
石化化工,机改技术,聚氯乙烯生产-PVC合成及干燥技术,组合式旋流干燥技术（Efficient-combined-high-elasticity-cyclone-dryer）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,52.51,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.846153846154,0,2.72,28,0.375,0.0518,
石化化工,机改技术,聚氯乙烯生产-PVC合成及干燥技术,聚合釜釜顶冷凝器优化技术（Optimize-polymerizer-top-condenser-）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,101.75,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.326923076923,0,8.71,147.42,0,0.0856,
石化化工,机改技术,聚氯乙烯生产-乙炔生产,干法乙炔发生技术（Dry-process-acetylene）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,-812.64,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.153846153846,-30.29,-21.21,45,0,0.0261,
石化化工,机改技术,聚氯乙烯生产-整体措施,动态谐波抑制及无功补偿综合节能技术（Dynamic-reactive-power-compensation-and-harmonic-suppression-for-rectifier-in-power-rectification）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,139.67,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.384615384615,0,1.69,20.76,0,0.0121,
石化化工,机改技术,聚氯乙烯生产-氯乙烯单体合成,VCM合成热水余热回收技术（Heat-recovery-of-hot-water-in-VCM-synthesis-reaction）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,31.11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.038461538462,5.29,7.56,84.65,2.05,0.243,
石化化工,机改技术,聚氯乙烯生产-氯乙烯单体合成,乙炔法VCM高压精馏工艺技术（High-pressure-distillation-for-acetylene-based-VCM）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,29.64,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6153846153846,0,0.83,48.25,0,0.028,
石化化工,机改技术,聚氯乙烯生产-盐酸合成,副产中压蒸汽合成炉（Efficient-synthetic-furnace-by-producing-medium-pressure）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,33.63,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.153846153846,0,9.08,14,2.77,0.27,
